Metric,Value
timing__hold__ws__corner:min_ff_n40C_5v50,0.22839386583997978
timing__setup__ws__corner:min_ff_n40C_5v50,5.370665841844951
timing__hold__tns__corner:min_ff_n40C_5v50,0.0
timing__setup__tns__corner:min_ff_n40C_5v50,0.0
timing__hold__wns__corner:min_ff_n40C_5v50,0
timing__setup__wns__corner:min_ff_n40C_5v50,0.0
timing__hold_vio__count__corner:min_ff_n40C_5v50,0
timing__hold_r2r__ws__corner:min_ff_n40C_5v50,0.228394
timing__hold_r2r_vio__count__corner:min_ff_n40C_5v50,0
timing__setup_vio__count__corner:min_ff_n40C_5v50,0
timing__setup_r2r__ws__corner:min_ff_n40C_5v50,14.628325
timing__setup_r2r_vio__count__corner:min_ff_n40C_5v50,0
timing__unannotated_net__count__corner:min_ff_n40C_5v50,1900
timing__unannotated_net_filtered__count__corner:min_ff_n40C_5v50,0
design__max_slew_violation__count__corner:max_tt_025C_5v00,554
design__max_fanout_violation__count__corner:max_tt_025C_5v00,164
design__max_cap_violation__count__corner:max_tt_025C_5v00,129
clock__skew__worst_hold__corner:max_tt_025C_5v00,-0.40124235625303717
clock__skew__worst_setup__corner:max_tt_025C_5v00,0.3748849947691841
timing__hold__ws__corner:max_tt_025C_5v00,0.5330538383797228
timing__setup__ws__corner:max_tt_025C_5v00,5.167981744380246
timing__hold__tns__corner:max_tt_025C_5v00,0.0
timing__setup__tns__corner:max_tt_025C_5v00,0.0
timing__hold__wns__corner:max_tt_025C_5v00,0
timing__setup__wns__corner:max_tt_025C_5v00,0.0
timing__hold_vio__count__corner:max_tt_025C_5v00,0
timing__hold_r2r__ws__corner:max_tt_025C_5v00,0.533054
timing__hold_r2r_vio__count__corner:max_tt_025C_5v00,0
timing__setup_vio__count__corner:max_tt_025C_5v00,0
timing__setup_r2r__ws__corner:max_tt_025C_5v00,11.045935
timing__setup_r2r_vio__count__corner:max_tt_025C_5v00,0
timing__unannotated_net__count__corner:max_tt_025C_5v00,1900
timing__unannotated_net_filtered__count__corner:max_tt_025C_5v00,0
design__max_slew_violation__count__corner:max_ss_125C_4v50,1267
design__max_fanout_violation__count__corner:max_ss_125C_4v50,164
design__max_cap_violation__count__corner:max_ss_125C_4v50,131
clock__skew__worst_hold__corner:max_ss_125C_4v50,-0.5037985726750347
clock__skew__worst_setup__corner:max_ss_125C_4v50,0.46183988496312783
timing__hold__ws__corner:max_ss_125C_4v50,1.1826642222515569
timing__setup__ws__corner:max_ss_125C_4v50,3.522789271115249
timing__hold__tns__corner:max_ss_125C_4v50,0.0
timing__setup__tns__corner:max_ss_125C_4v50,0.0
timing__hold__wns__corner:max_ss_125C_4v50,0
timing__setup__wns__corner:max_ss_125C_4v50,0.0
timing__hold_vio__count__corner:max_ss_125C_4v50,0
timing__hold_r2r__ws__corner:max_ss_125C_4v50,1.182664
timing__hold_r2r_vio__count__corner:max_ss_125C_4v50,0
timing__setup_vio__count__corner:max_ss_125C_4v50,0
timing__setup_r2r__ws__corner:max_ss_125C_4v50,3.522789
timing__setup_r2r_vio__count__corner:max_ss_125C_4v50,0
timing__unannotated_net__count__corner:max_ss_125C_4v50,1900
timing__unannotated_net_filtered__count__corner:max_ss_125C_4v50,0
design__max_slew_violation__count__corner:max_ff_n40C_5v50,296
design__max_fanout_violation__count__corner:max_ff_n40C_5v50,164
design__max_cap_violation__count__corner:max_ff_n40C_5v50,129
clock__skew__worst_hold__corner:max_ff_n40C_5v50,-0.3536175619079805
clock__skew__worst_setup__corner:max_ff_n40C_5v50,0.33506684486486865
timing__hold__ws__corner:max_ff_n40C_5v50,0.2406116485269172
timing__setup__ws__corner:max_ff_n40C_5v50,5.425851921335368
timing__hold__tns__corner:max_ff_n40C_5v50,0.0
timing__setup__tns__corner:max_ff_n40C_5v50,0.0
timing__hold__wns__corner:max_ff_n40C_5v50,0
timing__setup__wns__corner:max_ff_n40C_5v50,0.0
timing__hold_vio__count__corner:max_ff_n40C_5v50,0
timing__hold_r2r__ws__corner:max_ff_n40C_5v50,0.240612
timing__hold_r2r_vio__count__corner:max_ff_n40C_5v50,0
timing__setup_vio__count__corner:max_ff_n40C_5v50,0
timing__setup_r2r__ws__corner:max_ff_n40C_5v50,14.268499
timing__setup_r2r_vio__count__corner:max_ff_n40C_5v50,0
timing__unannotated_net__count__corner:max_ff_n40C_5v50,1900
timing__unannotated_net_filtered__count__corner:max_ff_n40C_5v50,0
timing__unannotated_net__count,1900
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VDD__corner:nom_tt_025C_3v30,3.29999
design_powergrid__drop__average__net:VDD__corner:nom_tt_025C_3v30,3.3
design_powergrid__drop__worst__net:VDD__corner:nom_tt_025C_3v30,0.0000130459
design_powergrid__voltage__worst__net:VSS__corner:nom_tt_025C_3v30,0.0000134308
design_powergrid__drop__average__net:VSS__corner:nom_tt_025C_3v30,0.00000361036
design_powergrid__drop__worst__net:VSS__corner:nom_tt_025C_3v30,0.0000134308
design_powergrid__voltage__worst,0.0000134308
design_powergrid__voltage__worst__net:VDD,3.29999
design_powergrid__drop__worst,0.0000134308
design_powergrid__drop__worst__net:VDD,0.0000130459
design_powergrid__voltage__worst__net:VSS,0.0000134308
design_powergrid__drop__worst__net:VSS,0.0000134308
ir__voltage__worst,3.29999999999999982236431605997495353221893310546875
ir__drop__avg,0.00000358999999999999993283692802104045682654032134450972080230712890625
ir__drop__worst,0.000012999999999999999199967216922946278145900578238070011138916015625
design__xor_difference__count,0
klayout__antenna_error__count,0
klayout__density_error__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
